Location,Freq.,Band,Station Name,For.,Call Sign,Power,P. Unit
Lac Seul/Kejick Bay,90.3,FM,CKZY 90.3,e,CKZY-FM,10,w
Lac Seul/Kejick Bay,91.9,FM,Wahsa,e,CIDE-FM-8,10,w
Leamington,91.9,FM,CBC Radio One,1,CBEW-FM-1,10.45,kW
Leamington,92.7,FM,Country 95 9,c,CJSP-FM,4,kW
Leamington,96.7,FM,Mix 96.7,p,CHYR-FM,27,kW
Leamington,103.1,FM,IRC Première,A,CBEF-1-FM,1,kW
Listowel new,100.1,FM,,p,CHLP-FM,8,kW
Little Current,102.1,FM,KFM,g,CJTK-FM-2,1.3,kW
London,92.7,FM,Pure Country 93,c,CJBX-FM,50,kW
London,93.5,FM,CBC Radio One,1,CBCL-FM,100,kW
London,94.9,FM,Radio Western,o,CHRW-FM,6,kW
London,95.9,FM,FM 96,p,CFPL-FM,300,kW
London,97.5,FM,97 5 Virgin Radio,p,CIQM-FM,50,kW
London,98.1,FM,Classic Rock 98 1,p,CKLO-FM,40,kW
London,99.3,FM,IRC Première,A,CJBC-4-FM,15.34,kW
London,99.9,FM,Faith FM,g,CHJX-FM,500,w
London,100.5,FM,CBC Music,2,CBBL-FM,15.34,kW
London,102.3,FM,Jack 102 3,p,CHST-FM,100,kW
London,106.9,FM,106.9 The X,o,CIXX-FM,3,kW
London,980,AM,980 CFPL,n,CFPL,10/5,kW
London,1290,AM,NewsTalk 1290,n,CJBK,10,kW
Longlac,107.1,FM,CFNO,p,CFNO-FM-5,4,w
Manitoulin Island,94.1,FM,The Moose 94.1,p,CKNR-FM,90,kW
Manitoulin Island,97.5,FM,CBC Radio One,1,CBCE-FM,21,kW
Manitoulin Island,100.7,FM,Hits 100,p,CFRM-FM,15,kW
Manitoulin Island,103.1,FM,Country 103,c,CHAW-FM,24.8,kW
Manitouwadge,89.7,FM,CBC Radio One,1,CBEB-FM,4.78,kW
Manitouwadge,96.9,FM,IRC Première,A,CBON-FM-23,143,w
Marathon,93.1,FM,CFNO,p,CFNO-FM,50,kW
Marathon,102.3,FM,IRC Première,A,CBON-FM-29,3.862,kW
Marathon,107.5,FM,CBC Radio One,1,CBLM-FM,3.935,kW
Markham,105.9,FM,105.9 The Region,e,CFMS-FM,3,kW
Markham,105.9,HD1,,,CFMS-HD,3,kW
Markham,105.9,HD2,,,CFMS-HD,3,kW
Markham,105.9,HD3,,,CFMS-HD,3,kW
Markham,105.9,HD4,,,CFMS-HD,3,kW
Mattawa,93.9,FM,KFM,g,CJTK-FM-4,50,w
Mattawa,1090,AM,IRC Première,A,CBON-12,40,w
Mattawa,1240,AM,CBC Radio One,1,CBLO,40,w
Maynooth,89.3,FM,CBC Radio One,1,CBOD-FM,110,w
Maynooth,94.7,FM,UCB Canada,g,CKJJ-FM-5,32,w
M’Chigeeng,88.9,FM,Gimaa Radio,e,CHYF-FM,50,w
Meaford,99.3,FM,Jewel 99 3,m,CJGB-FM,100,w
Michipicoten River,100.7,FM,Jjam FM,p,CJWA-FM-3,5,w
Midland,104.1,FM,104.1 The Dock,p,CICZ-FM,20,kW
Milton,101.3,FM,my FM,p,CJML-FM,2,kW
Mississauga,960,AM,News Talk Sauga 960,n,CKNT,2/0.28,kW
Mississauga new,1490,AM,CHTO AM,e,CHTO-1,23/770,w
Mississauga,1650,AM,CINA 1650,e,CINA,5/0.68,kW
Moose Factory,107.1,FM,The Island,e,CJFI-FM,50,w
Moosonee,89.9,FM,CKZY 90.3,e,VF2372,8,w
Moosonee,99.9,FM,CBC Radio One,1,CBEY-FM,135,w
Mount Forest,88.7,FM,The River,o,CIWN-FM,1.88,kW
Muskrat Dam,91.9,FM,Wahsa,e,CIDE-FM-9,10,w
Muskrat Dam,105.1,FM,WRN,e,CFMD-FM,1,w
Naicatchewenin,90.1,FM,WRN,e,CFNP-FM,10,w
Nakina,98.1,FM,CBC Radio One,1,CBLN-FM,50,w
Nakina,107.1,FM,CFNO,p,CFNO-FM-7,49,w
Napanee,88.7,FM,my FM,p,CKYM-FM,11.1,kW
New Liskeard,103.5,FM,CHTI,i,CHIM-FM-4,1,w
New Tecumseth,92.1,FM,my FM,p,CIMA-FM,3.75,kW
Newmarket,88.5,FM,Jewel 88 5,m,CKDX-FM,30,kW
Newmarket,102.7,FM,102.7 CHOP FM,o,CHOP-FM,5,w
Neyaashiinigmiing,100.1,FM,CHFN 100.1 FM,e,CHFN-FM,72,w
Niagara Falls,105.1,FM,105.1 The River,p,CJED-FM,15,kW
Nipigon new,92.5,FM,UCB Canada,g,CJOA-FM-1,50,w
Nipigon,97.3,FM,IRC Première,A,CBON-FM-19,2,kW
Nipigon,98.9,FM,CBC Radio One,1,CBQY-FM,2,kW
Nipigon,100.7,FM,CFNO,p,CFNO-FM-1,200,w
North Bay new,90.5,FM,,m,CFCH-FM,45.8,kW
North Bay,92.5,FM,CHTI,i,CHIM-FM-1,50,w
North Bay,95.1,FM,IRC Première,A,CBON-FM-17,100,kW
North Bay,96.1,FM,CBC Radio One,1,CBCN-FM,100,kW
North Bay,100.5,FM,Kiss 100.5,p,CHUR-FM,100,kW
North Bay,101.9,FM,101 9 Rock,p,CKFX-FM,100,kW
North Bay,103.5,FM,KFM,g,CJTK-FM-1,800,w
North Bay,104.9,FM,,i,CKTR-FM,31,w
North Bay,106.3,FM,106 3 Moose FM,p,CFXN-FM,10,kW
North Bay,600,AM,Country 600,c,CKAT,10/5,kW
North Spirit Lake,91.9,FM,Wahsa,e,CIDE-FM-10,10,w
Oakville,1250,AM,Joy Radio,g,CJYE,10,kW
Oakville,1320,AM,CJMR 1320,e,CJMR,10,kW
Ohsweken,93.5,FM,Jukasa Radio,e,CJKS-FM,75,w
Ohsweken,100.3,FM,CKRZ,e,CKRZ-FM,5,kW
Orangeville,101.5,FM,my FM,p,CKMO-FM,625,w
Orangeville,103.5,FM,Z103 5,p,CIDC-FM,30.7,kW
Orangeville,103.5,HD1,Z103 5,p,CIDC-HD,30.7,kW
Orillia,89.1,FM,89 1 Max FM,p,CISO-FM,2.5,kW
Orillia,90.7,FM,CBC Music,2,CBL-FM-3,5.5,kW
Orillia,91.5,FM,CBC Radio One,1,CBCO-FM,13.52,kW
Orillia,105.9,FM,Pure Country 106,c,CICX-FM,20,kW
Oshawa,94.9,FM,94 9 The Rock,p,CKGE-FM,50,kW
