,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language,genre
271,CKYM-FM,My Broadcasting Corporation,adult contemporary,44.25,-76.95,my FM,11.1,kW,88.7 FM,Napanee,1,1,adult contemporary
272,CJTK-FM-6,Eternacom,Christian radio,47.517,-79.683,KFM,530,w,100.9 FM,New Liskeard,1,1,christian radio
273,CKDX-FM,Evanov Communications,pop standards,44.05,-79.467,Jewel 88 5,30,kW,88.5 FM,Newmarket,2,1,pop standards
274,CHOP-FM,Pickering College,campus radio,44.05,-79.467,102.7 CHOP FM,5,w,102.7 FM,Newmarket,2,1,campus radio
275,CHFN-FM,Chippewas of Nawash,First Nations community radio,44.908279,-81.022634,CHFN 100.1 FM,72,w,100.1 FM,Neyaashiinigmiing,1,1,first nations community radio
276,CJED-FM,Byrnes Communications,Adult Contemporary,43.06,-79.10667,105.1 The River,15,kW,105.1 FM,Niagara Falls,1,1,adult contemporary
277,CBON-FM-19,Ici Radio-Canada Première,public news/talk (French),49.01528,-88.26833,IRC Première,2,kW,97.3 FM,Nipigon,3,1,public news/talk
278,CBQY-FM,CBC Radio One,public news/talk,49.01528,-88.26833,CBC Radio One,2,kW,98.9 FM,Nipigon,3,1,public news/talk
279,CFNO-FM-1,Dougall Media,adult contemporary,49.01528,-88.26833,CFNO,200,w,100.7 FM,Nipigon,3,1,adult contemporary
280,CKAT,Rogers Communications,country,46.3,-79.45,Country 600,10/5,kW,600 AM,North Bay,7,1,country
281,CBON-FM-17,Ici Radio-Canada Première,public news/talk (French),46.3,-79.45,IRC Première,100,kW,95.1 FM,North Bay,7,1,public news/talk
282,CBCN-FM,CBC Radio One,public news/talk,46.3,-79.45,CBC Radio One,100,kW,96.1 FM,North Bay,7,1,public news/talk
283,CHUR-FM,Rogers Communications,hot adult contemporary,46.3,-79.45,Kiss 100.5,100,kW,100.5 FM,North Bay,7,1,hot adult contemporary
284,CKFX-FM,Rogers Communications,active rock,46.3,-79.45,101 9 Rock,100,kW,101.9 FM,North Bay,7,1,active rock
285,CJTK-FM-1,Eternacom,Christian radio,46.3,-79.45,KFM,800,w,103.5 FM,North Bay,7,1,christian radio
286,CFXN-FM,Vista Broadcast Group,adult hits,46.3,-79.45,106 3 Moose FM,10,kW,106.3 FM,North Bay,7,1,adult hits
287,CIDE-FM-10,Wawatay,First Nations community radio,52.483,-93.033,Wahsa,10,w,91.9 FM,North Spirit Lake,1,1,first nations community radio
288,CJYE,Trafalgar Broadcasting,Christian radio,43.45,-79.683,Joy Radio,10,kW,1250 AM,Oakville,1,1,christian radio
289,CKRZ-FM,Southern Onkwehonwe Nishinaabec,First Nations community radio,43.067,-80.117,CKRZ,5,kW,100.3 FM,Ohsweken,1,1,first nations community radio
290,CKMO-FM,My Broadcasting Corporation,adult contemporary,43.917,-80.117,my FM,625,w,101.5 FM,Orangeville,2,1,adult contemporary
291,CIDC-FM,Evanov Communications,CHR,43.917,-80.117,Z103 5,30.7,kW,103.5 FM,Orangeville,2,1,chr
292,CISO-FM,Bayshore Broadcasting,adult contemporary,44.6,-79.417,89 1 Max FM,2.5,kW,89.1 FM,Orillia,4,1,adult contemporary
293,CBL-FM-3,CBC Music,public music,44.6,-79.417,CBC Music,5.5,kW,90.7 FM,Orillia,4,1,public music
294,CBCO-FM,CBC Radio One,public news/talk,44.6,-79.417,CBC Radio One,13.52,kW,91.5 FM,Orillia,4,1,public news/talk
295,CICX-FM,Bell Media Radio,country,44.6,-79.417,Pure Country 106,20,kW,105.9 FM,Orillia,4,1,country
296,CKDO,Durham Radio,oldies,43.9,-78.85,CKDO,10,kW,1580 AM,Oshawa,3,1,oldies
297,CKGE-FM,Durham Radio,active rock,43.9,-78.85,94 9 The Rock,50,kW,94.9 FM,Oshawa,3,1,active rock
298,CKDO-FM-1,Durham Radio,oldies,43.9,-78.85,CKDO,2,kW,107.7 FM,Oshawa,3,1,oldies
299,CFRA,Bell Media Radio,news/talk,45.42472,-75.695,News Talk 580 CFRA,50/30,kW,580 AM,Ottawa,26,1,news/talk
300,CFGO,Bell Media Radio,sports,45.42472,-75.695,TSN 1200,50,kW,1200 AM,Ottawa,26,1,sports
301,CIWW,Rogers Communications,news,45.42472,-75.695,1310 News,50,kW,1310 AM,Ottawa,26,1,news
302,CHYW,Macdonald-Cartier International Airport,tourist/airport information,45.42472,-75.695,AM 1630,99,w,1630 AM,Ottawa,26,1,tourist/airport information
303,CILV-FM,Stingray Digital,modern rock,45.42472,-75.695,Live 88 5,90,kW,88.5 FM,Ottawa,26,1,modern rock
304,CHUO-FM,University of Ottawa,campus radio,45.42472,-75.695,CHUO,18.1,kW,89.1 FM,Ottawa,26,1,campus radio
305,CIHT-FM,Stingray Digital,CHR,45.42472,-75.695,Hot 89 9,27,kW,89.9 FM,Ottawa,26,1,chr
306,CBOF-FM,Ici Radio-Canada Première,public news/talk (French),45.42472,-75.695,IRC Première,84,kW,90.7 FM,Ottawa,26,1,public news/talk
307,CBO-FM,CBC Radio One,public news/talk,45.42472,-75.695,CBC Radio One,84,kW,91.5 FM,Ottawa,26,1,public news/talk
308,VF8013,Fabrique de la Paroisse du Sacré-Coeur du diocèse d'Ottawa,Christian radio (French),45.42472,-75.695,Paroisse du Sacré-Coeur,1,w,92.3 FM,Ottawa,26,1,christian radio
309,CKCU-FM,Carleton University,campus radio,45.42472,-75.695,CKCU,12,kW,93.1 FM,Ottawa,26,1,campus radio
310,CKKL-FM,Bell Media Radio,country,45.42472,-75.695,Pure Country 94,95,kW,93.9 FM,Ottawa,26,1,country
311,CJFO-FM,Radio de la communauté francophone d’Ottawa,community radio (French),45.42472,-75.695,Unique FM,2,kW,94.5 FM,Ottawa,26,1,community radio
312,CFPO-FM,First Peoples Radio Inc.,First Nations,45.42472,-75.695,elmnt fm,9.1,kW,95.7 FM,Ottawa,26,1,first nations
313,CJLL-FM,CHIN Radio/TV International,multilingual,45.42472,-75.695,CHIN,6.77,kW,97.9 FM,Ottawa,26,1,multilingual
314,CJWL-FM,Evanov Communications,pop standards,45.42472,-75.695,Jewel 98 5,2.5,kW,98.5 FM,Ottawa,26,1,pop standards
315,CHRI-FM,Christian Hit Radio Inc.,Christian radio,45.42472,-75.695,CHRI,66,kW,99.1 FM,Ottawa,26,1,christian radio
316,CJOT-FM,Corus Entertainment,classic hits,45.42472,-75.695,boom 99 7,100,kW,99.7 FM,Ottawa,26,1,classic hits
317,CJMJ-FM,Bell Media Radio,adult contemporary,45.42472,-75.695,Majic 100,100,kW,100.3 FM,Ottawa,26,1,adult contemporary
318,CIDG-FM,Frank Torres (OBCI),Mainstream rock,45.42472,-75.695,Rebel 101.7,21,kW,101.7 FM,Ottawa,26,1,mainstream rock
319,CBOX-FM,Ici Musique,public music (French),45.42472,-75.695,Ici musique,84,kW,102.5 FM,Ottawa,26,1,public music
320,CBOQ-FM,CBC Music,public music,45.42472,-75.695,CBC Music,84,kW,103.3 FM,Ottawa,26,1,public music
321,CISS-FM,Rogers Communications,hot adult contemporary,45.42472,-75.695,Kiss 105 3,84,kW,105.3 FM,Ottawa,26,1,hot adult contemporary
322,CHEZ-FM,Rogers Communications,classic rock,45.42472,-75.695,Chez 106,100,kW,106.1 FM,Ottawa,26,1,classic rock
323,CKQB-FM,Corus Entertainment,Top 40/CHR,45.42472,-75.695,Jump 106 9,84,kW,106.9 FM,Ottawa,26,1,top 40/chr
324,CKDJ-FM,Algonquin College,campus radio,45.42472,-75.695,CKDJ,100,w,107.9 FM,Ottawa,26,1,campus radio
325,CFOS,Bayshore Broadcasting,oldies,44.567,-80.933,560 CFOS,7.5/1,kW,560 AM,Owen Sound,6,1,oldies
326,CJLF-FM-1,Trust Communications,Christian radio,44.567,-80.933,Life 100.3,75,w,90.1 FM,Owen Sound,6,1,christian radio
327,CJOS-FM,Bell Media Radio,classic hits,44.567,-80.933,92.3 The Dock,9.4,kW,92.3 FM,Owen Sound,6,1,classic hits
328,CKYC-FM,Bayshore Broadcasting,country,44.567,-80.933,Country 93,22,kW,93.7 FM,Owen Sound,6,1,country
329,CBCB-FM,CBC Radio One,public news/talk,44.567,-80.933,CBC Radio One,100,kW,98.7 FM,Owen Sound,6,1,public news/talk
330,CIXK-FM,Bayshore Broadcasting,adult contemporary,44.567,-80.933,Mix 106.5,28,kW,106.5 FM,Owen Sound,6,1,adult contemporary
331,CBLA-FM-2,CBC Radio One,public news/talk,43.2,-80.38333,CBC Radio One,10.4,kW,89.1 FM,Paris,3,1,public news/talk
332,CJBC-FM-2,Ici Musique,public music (French),43.2,-80.38333,Ici musique,14.8,kW,89.9 FM,Paris,3,1,public music
333,CBL-FM-2,CBC Music,public music,43.2,-80.38333,CBC Music,8.23,kW,90.7 FM,Paris,3,1,public music
