,call sign,owner,format,station name,for.,power,p. unit,frequency,city of licence
123,CJTK-FM-7,Eternacom,Christian radio,KFM,g,3.3,kW,105.7 FM,Englehart
124,CHES-FM,Erin Radio,community radio,Erin Radio,o,2.5,kW,91.7 FM,Erin
125,CBON-FM-7,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,520,w,94.9 FM,Espanola
126,CJJM-FM,Vista Broadcast Group,adult hits,The Moose 99.3,p,1.41,kW,99.3 FM,Espanola
127,CKXM-FM,My Broadcasting Corporation,adult contemporary,my FM,p,2.95,kW,90.5 FM,Exeter
128,CBLF,CBC Radio One,public news/talk,CBC Radio One,1,40,w,1450 AM,Foleyet
129,CKFA-FM,Wawatay,First Nations community radio,WRN,e,10,w,90.1 FM,Fort Albany
130,CBCI-FM,CBC Radio One,public news/talk,CBC Radio One,1,2.4,kW,102.3 FM,Fort Albany
131,CFLZ-FM,Brynes communications,Oldies,101.1 More FM,p,50,kW,101.1 FM,Fort Erie
132,CKSB-9-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,12.17,kW,89.1 FM,Fort Frances
133,CBQQ-FM,CBC Radio One,public news/talk,CBC Radio One,1,23.55,kW,90.5 FM,Fort Frances
134,CFOB-FM,Acadia Broadcasting,hot adult contemporary,93 1 The Border,p,21,kW,93.1 FM,Fort Frances
135,CBCF-FM,CBC Radio One,public news/talk,CBC Radio One,1,60,w,101.5 FM,Fort Hope
136,CKFS-FM,Wawatay,First Nations community radio,WRN,e,1,w,90.1 FM,Fort Severn
137,CIDE-FM-5,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Fort Severn
138,CJGM-FM,My Broadcasting Corporation,adult contemporary,my FM,p,4.47,kW,99.9 FM,Gananoque
139,CFGI-FM,Georgina Island First Nations Communications,First Nations community radio,NISH Radio,e,650,w,92.3 FM,Georgina Island
140,CBLG-FM,CBC Radio One,public news/talk,CBC Radio One,1,25.123,kW,89.1 FM,Geraldton
141,CBON-FM-22,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,9.216,kW,93.7 FM,Geraldton
143,CFNO-FM-4,Dougall Media,adult contemporary,CFNO,p,130,w,100.7 FM,Geraldton
144,CIYN-FM-1,My Broadcasting Corporation,classic hits,my FM,p,750,w,99.7 FM,Goderich
145,CHWC-FM,Bayshore Broadcasting,country,Country 104.9,c,12.55,kW,104.9 FM,Goderich
146,CBON-FM-21,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,5.031,kW,104.9 FM,Gogama
147,CIIG-FM,Instant Information Services,tourist information,Information Radio,i,50,w,98.3 FM,Gravenhurst
148,CJMU-FM,Bayshore Broadcasting,country,Country 102,c,23,kW,102.3 FM,Gravenhurst/Bracebridge
149,CBBS-FM,CBC Music,public music,CBC Music,2,50,kW,90.1 FM,Greater Sudbury
150,CBBX-FM,Ici Musique,public music (French),Ici musique,Q,50,kW,90.9 FM,Greater Sudbury
151,CICS-FM,Bell Media Radio,country,Pure Country 91 7,c,50,kW,91.7 FM,Greater Sudbury
152,CJRQ-FM,Rogers Communications,active rock,92 7 Rock,p,100,kW,92.7 FM,Greater Sudbury
153,CIGM-FM,Stingray Digital,CHR,Hot 93 5,p,100,kW,93.5 FM,Greater Sudbury
154,CJTK-FM,Eternacom,Christian radio,KFM,g,8.1,kW,95.5 FM,Greater Sudbury
155,CKLU-FM,Laurentian University,campus radio,CKLU,o,2,kW,96.7 FM,Greater Sudbury
156,CBON-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,50,kW,98.1 FM,Greater Sudbury
157,CHYC-FM,Le5 Communications,hot adult contemporary (French),Le Loup 98.9,F p,3.82,kW,98.9 FM,Greater Sudbury
158,CBCS-FM,CBC Radio One,public news/talk,CBC Radio One,1,50,kW,99.9 FM,Greater Sudbury
159,CKJC-FM,1158556 Ontario Ltd. (Roger de Brabant),tourist information,CHTI,i,50,w,101.7 FM,Greater Sudbury
160,CHNO-FM,Stingray Digital,classic hits,Rewind 103.9,m,100,kW,103.9 FM,Greater Sudbury
161,CJMX-FM,Rogers Communications,hot adult contemporary,Kiss 105.3,p,100,kW,105.3 FM,Greater Sudbury
162,CJOY,Corus Entertainment,oldies,CJOY,m,10,kW,1460 AM,Guelph
163,CFRU-FM,University of Guelph,campus radio,CFRU 93.3 FM,o,250,w,93.3 FM,Guelph
164,CIMJ-FM,Corus Entertainment,hot adult contemporary,Magic 106,p,50,kW,106.1 FM,Guelph
165,CBLY-FM,CBC Radio One,public news/talk,CBC Radio One,1,50,w,92.3 FM,Haliburton
166,CFZN-FM,Vista Broadcast Group,adult hits,93 5 Moose FM,p,6,kW,93.5 FM,Haliburton
167,CKHA-FM,Haliburton County Radio Association,community radio,100.9 Canoe FM,o,3.4,kW,100.9 FM,Haliburton
168,CHAM,Bell Media Radio,comedy,Funny 820,s,50/10,kW,820 AM,Hamilton
169,CHML,Corus Entertainment,news/talk,Global N. R. 900 CHML,n,50,kW,900 AM,Hamilton
170,CKOC,Bell Media Radio,sports,TSN 1150,n,50/20,kW,1150 AM,Hamilton
171,CFMU-FM,McMaster University,campus radio,CFMU,o,250,w,93.3 FM,Hamilton
172,CHKX-FM,Durham Radio,country,KX 94 7,c,100,kW,94.7 FM,Hamilton
