,call sign,owner,format,station name,for.,power,p. unit,frequency,city of licence
573,CJAH-FM,United Christian Broadcasters Canada,Christian radio,UCB Canada,g,7.5,kW,90.5 FM,Windsor
574,CIDR-FM,Bell Media Radio,adult album alternative,93 9 The River,p,100,kW,93.9 FM,Windsor
575,CJWF-FM,Blackburn Radio,country,Country 95 9,c,11.8,kW,95.9 FM,Windsor
576,CBEW-FM,CBC Radio One,public news/talk,CBC Radio One,1,19,kW,97.5 FM,Windsor
577,CJAM-FM,University of Windsor,campus radio,CJAM,o,2.084,kW,99.1 FM,Windsor
578,CKUE-FM-1,Blackburn Radio,classic hits,Cool FM,p,9,kW,100.7 FM,Windsor
579,CINA-FM,Neeti P. Ray (OBCI),multilingual,CINA Radio,e,5,kW,102.3 FM,Windsor
580,CJBC-FM-1,Ici Musique,public music (French),Ici musique,Q,6,kW,103.9 FM,Windsor
581,CBEF-2-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,2.4,kW,105.5 FM,Windsor
582,CKNX,Blackburn Radio,country,CKNX,c,10/1,kW,920 AM,Wingham
583,CIBU-FM,Blackburn Radio,classic rock,Classic Rock 94 5,p,75,kW,94.5 FM,Wingham
584,CBLA-FM-3,CBC Radio One,public news/talk,CBC Radio One,1,30,kW,100.9 FM,Wingham
585,CKNX-FM,Blackburn Radio,adult contemporary,101.7 The One,p,100,kW,101.7 FM,Wingham
586,CJFH-FM,Sound of Faith Broadcasting,Christian radio,Hope FM,g,37,w,94.3 FM,Woodstock
587,CKDK-FM,Corus Entertainment,country,Country 104,c,51,kW,103.9 FM,Woodstock
588,CIHR-FM,Byrnes Communications,adult contemporary,Heart FM,p,20,kW,104.7 FM,Woodstock
590,CIDE-FM-19,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Wunnummin Lake
